model,r2,q2
linear (reported),0.8927005627006469,0.7996095570163206
through origin,0.8926181903418708,0.8410595336373793
weighted (1/N^2),0.8883096797995844,0.8215387846876602
power law,0.8861324981379054,0.813954041500513
N + mean chamber temperature,0.9482811492268721,0.8568947167368871
N + baseline c0,0.8929988251321808,0.741494655401267
mixed (random batch intercept),0.8821123562481014,0.8090937872411226
